scenario,name,count
reference,2020,2826689
reference,2021,2250008
reference,2022,2288800
reference,2023,2329358
reference,2024,2371010
reference,2025,2414320
reference,2026,2458223
reference,2027,2503078
reference,2028,2549193
reference,2029,2596873
reference,2030,2645991
reference,2031,2696058
reference,2032,2747586
reference,2033,2801061
reference,2034,2856383
reference,2035,2913349
reference,2036,2972498
reference,2037,3034245
reference,2038,3098010
reference,2039,3164358
cycling intervention,2020,2826606
cycling intervention,2021,2253432
cycling intervention,2022,2292378
cycling intervention,2023,2333055
cycling intervention,2024,2375060
cycling intervention,2025,2418386
cycling intervention,2026,2462277
cycling intervention,2027,2507152
cycling intervention,2028,2553318
cycling intervention,2029,2601060
cycling intervention,2030,2649387
cycling intervention,2031,2699348
cycling intervention,2032,2750782
cycling intervention,2033,2804046
cycling intervention,2034,2859117
cycling intervention,2035,2916441
cycling intervention,2036,2975464
cycling intervention,2037,3037479
cycling intervention,2038,3100950
cycling intervention,2039,3168105
